Pace,Steps,Candence,Distance,AudioOn
0.94815403550252764,5,1.8306623697280884,2.8529943698085845,false
0.92215854278187448,10,1.8306623697280884,5.7588219689205289,false
0.836776195796339,13,1.8379807472229004,8.1997171519324183,false
1.0350556956836727,15,1.8379807472229004,9.5311145246960223,false
0.91951579788301929,21,1.8723564147949219,13.778906141873449,false
0.87666671720559841,26,1.8767937421798706,17.424398947972804,false
0.84510963934689765,31,1.8880213499069214,21.0170585247688,false
0.82840114892269823,36,1.8893287181854248,24.609718101564795,false
0.8095160552772851,41,1.8980100154876709,28.25521090766415,false
0.79604514626795253,46,1.8994483947753906,32.006370171904564,false
0.78261489094133008,51,1.905439019203186,35.757529436144978,false
0.77326740661230775,56,1.9080352783203125,39.508688700385392,false
0.76230741702462002,61,1.9145655632019043,43.312681193463504,false
0.7569090522269275,66,1.9147896766662598,47.063840457703918,false
0.74880020516805634,71,1.9203245639801025,50.867832950782031,false
0.74328446910425339,76,1.9295358657836914,54.671825443860143,false
0.73745093948929352,81,1.935702919960022,58.475817936938256,false
0.73709105542548314,86,1.935702919960022,62.121310743037611,false
0.73525318915964633,91,1.9434171915054321,65.713970319833606,false
0.73504637402445627,96,1.9434185028076172,69.359463125932962,false
0.73107920884072342,101,1.9510139226913452,73.163455619011074,false
0.73008617361260242,106,1.9541109800338745,76.914614883251488,false
0.72818546509268178,111,1.9623777866363525,80.612940918188542,false
0.72740878368049411,116,1.9647049903869629,84.364100182428956,false
0.72621699896204428,121,1.9656013250350952,88.009592988528311,false
0.72545696375748647,125,1.9554482698440552,90.925987233407795,false
0.72649462962480038,130,1.9531497955322266,94.465813581366092,false
0.72504146814712145,135,1.9523870944976807,98.111306387465447,false
0.72432224694302205,140,1.9516249895095825,101.86246565170586,false
0.72307268428395222,145,1.949334979057312,105.56079168664292,false
0.72264871258673358,150,1.9470497369766235,109.31195095088333,false
0.72117334966116364,155,1.9470529556274414,113.01027698582038,false
0.72215229399288272,160,1.9470529556274414,116.60293656261638,false
