Pace,Steps,Candence,Distance,AudioOn
0.69074459563197643,4,1.7685815095901489,3.2545269108377397,false
0.88610947060794487,9,1.7685815095901489,5.9490215936675668,true
0.84644555513798547,13,1.7685815095901489,9.1190153378993273,true
1.0820452794931938,13,1.7685815095901489,9.1190153378993273,true
1.0804183380258536,16,1.7685815095901489,11.876909895334393,true
0.98107656734864657,20,1.7515202760696411,15.554102638736367,true
0.92175066206888512,24,1.7386945486068726,19.189028799068183,true
0.86847850645784908,29,1.7349435091018677,23.732686499133706,true
0.87764866844045231,33,1.7349435091018677,26.226414911448956,true
0.8812723737232907,37,1.7349435091018677,28.804676490370184,true
0.88419018085363765,41,1.6897400617599487,31.38685966655612,true
0.85188667437601251,46,1.6897400617599487,36.149082737509161,true
0.83404467132020776,50,1.6826729774475098,39.784008897840977,true
0.84130234108946844,54,1.6826729774475098,42.277737310156226,true
0.84151756989051341,59,1.7288627624511719,45.553397512529045,true
0.84178014776537224,63,1.7264456748962402,48.304904175922275,true
0.84277950932394363,67,1.7193349599838257,51.056410839315504,true
0.84406123466380434,72,1.7175090312957764,54.442880578804761,true
0.84532042667235652,76,1.7215814590454102,57.06739462679252,true
0.84303698835877416,81,1.7368783950805664,60.453864366281778,true
0.84159555601731451,85,1.742701530456543,63.205371029675007,true
0.84083300950446571,90,1.7443946599960327,66.644754358567297,true
0.8390788467116157,95,1.7531999349594116,70.031224098056555,true
0.8390013935527646,99,1.7540013790130615,72.740399889647961,true
0.8386636761740236,104,1.7511608600616455,76.232696808408946,true
0.83786431644642423,108,1.754935622215271,78.941872600000352,true
0.83595699924073374,113,1.760648250579834,82.381255928892642,true
0.83470061767956516,117,1.7625693082809448,85.175093463622034,true
0.83629714805777866,122,1.7590042352676392,88.508649613242596,true
0.83730924681441932,126,1.7584782838821411,91.133163661230356,true
0.8234555705505221,131,1.7584782838821411,96.001213911455125,true
0.82292361874305042,135,1.759467601776123,98.795051446184516,true
0.82241352540747237,140,1.7586777210235596,102.34026195434853,true
0.82087655916688174,145,1.7680155038833618,105.77964528324082,true
0.81995930288175445,149,1.7735610008239746,108.61581368977204,true
0.81926397388879291,153,1.7719147205352783,111.45198209630325,true
0.81065011443402279,158,1.7719147205352783,116.26711875665933,false
0.80860908848359925,162,1.7670164108276367,119.61125762434676,false
0.80705251330673144,166,1.760758638381958,122.99772736383602,false
0.80685985125879311,171,1.7698131799697876,126.33128351345658,false
0.80463460110636209,176,1.7826476097106934,129.77066684234887,false
0.80295307285689344,181,1.7875782251358032,133.26296376110986,false
0.80035088675974519,186,1.7982046604156494,136.80279010906816,false
0.79812797136656477,191,1.8067269325256348,140.44828291516751,false
0.79531928610740199,196,1.8131718635559082,144.14660895010456,false
0.79374684397904516,201,1.8201113939285278,147.73926852690056,false
0.79188564834512354,206,1.8352785110473633,151.2262616455555,false
0.79136535389322726,210,1.8381955623626709,154.01585614075884,false
0.79093226662132421,216,1.8427951335906982,158.07344813365489,false
0.79107421324352034,220,1.8464337587356567,160.73624287871644,false
0.79099884882964577,225,1.8530193567276001,164.22323599737138,false
0.78886509830568319,230,1.8530193567276001,167.86872880347073,false
0.78798358151694481,235,1.8567533493041992,171.51422160957009,false
0.78752023565009366,240,1.8626004457473755,174.94838149938732,false
0.78653305428043285,244,1.8714591264724731,177.82250916073099,false
0.79022593915119188,249,1.8707180023193359,180.38996325293556,false
0.78971967318374237,254,1.8801988363265991,183.6787057807669,false
0.79363000888098589,259,1.8814722299575806,186.23386161820963,false
0.79377214848590294,264,1.8981109857559204,189.40908488258719,false
0.79388802416992943,268,1.9130038022994995,192.08766111498699,false
0.792528856895095,272,1.9130038022994995,195.25363559788093,false
